20237300;Lap trinh C co ban;Nguyen Van A;01/06/2024;1
20237301;Lap trinh C co ban;Nguyen Van A;02/06/2024;0
20237302;Cau truc du lieu va giai thuat;Tran Thi B;03/06/2024;1
20237303;Toan roi rac;Le Thi C;04/06/2024;0
20237304;Giai tich 1;Pham Van D;05/06/2024;1
20237305;Giai tich 2;Pham Van D;06/06/2024;0
20237306;Dai so tuyen tinh;Nguyen Thi E;07/06/2024;1
20237307;Xac suat thong ke;Le Van F;08/06/2024;0
20237308;Co so du lieu;Tran Van G;09/06/2024;1
20237309;Mang may tinh;Nguyen Van H;10/06/2024;0
